MEMBER_NO,FFP_DATE,FIRST_FLIGHT_DATE,GENDER,FFP_TIER,WORK_CITY,WORK_PROVINCE,WORK_COUNTRY,AGE,LOAD_TIME,FLIGHT_COUNT,BP_SUM,SUM_YR_1,SUM_YR_2,SEG_KM_SUM,LAST_FLIGHT_DATE,LAST_TO_END,AVG_INTERVAL,MAX_INTERVAL,EXCHANGE_COUNT,avg_discount,Points_Sum,Point_NotFlight
47250,5/19/2005,1/11/2007,Male,4,,,CN,70.0,3/31/2014,3,3798,5550.0,550.0,4041,11/8/2013,145,112.5,223,0,1.023162584,3798,0
48079,3/9/2008,3/9/2008,Male,4,nanning,guangxi,CN,42.0,3/31/2014,9,10087,5411.0,5087.0,11667,10/18/2013,166,51.125,122,0,0.945560127,10087,0
29328,9/21/2005,9/21/2005,Female,4,shamen,fujian,CN,36.0,3/31/2014,4,2470,1599.0,0.0,3522,9/22/2012,557,1.333333333,3,0,0.739437819,2470,0
6694,4/7/2012,4/7/2012,Male,4,fanyu,guangdong,CN,53.0,3/31/2014,31,27136,16204.0,12672.0,40226,1/2/2014,90,21.16666667,81,1,0.751669567,27136,1
48496,3/4/2009,3/6/2009,Male,4,guangzhou,guangdong,CN,33.0,3/31/2014,23,14036,9970.0,7517.0,19102,12/28/2013,95,28.72727273,104,3,0.847735316,14036,3
3659,11/7/2008,11/7/2008,Male,4,shanghai,shanghai,CN,36.0,3/31/2014,5,1198,1024.0,438.0,4972,9/3/2013,211,121.75,311,1,0.3999577629999999,1198,1
32271,8/16/2011,8/16/2011,Male,4,zhengzhou,henan,CN,26.0,3/31/2014,5,2868,3735.0,0.0,6767,11/2/2012,516,40.75,83,0,0.607676962,2868,0
23766,12/3/2011,12/17/2011,Male,4,gaoping,shandong,CN,42.0,3/31/2014,2,1292,1380.0,0.0,1380,6/13/2012,658,52.0,52,0,1.0,1292,0
27734,5/1/2006,7/4/2007,Male,4,wuhan,hubei,CN,31.0,3/31/2014,6,1960,868.0,1581.0,6184,9/16/2013,198,72.2,147,0,0.490638745,3253,3
8669,9/1/2007,9/1/2007,Male,4,beijing,beijing,CN,60.0,3/31/2014,7,11463,6038.0,3751.0,9609,3/12/2014,20,110.3333333,376,0,1.183983765,11463,0
18322,1/13/2011,1/5/2012,Female,4,guangzhou,guangdong,CN,37.0,3/31/2014,15,12169,8511.0,5765.0,20440,1/23/2014,69,46.21428571,304,0,0.733532779,12169,0
31285,9/11/2009,2/18/2010,Male,4,jilin,jilinsheng,CN,44.0,3/31/2014,9,8304,3013.0,4766.0,14091,1/6/2014,86,70.75,245,0,0.747477823,8304,0
11742,10/31/2007,10/31/2007,Male,6,haidianqu,beijingshi,CN,45.0,3/31/2014,21,15630,5678.0,6288.0,19150,3/12/2014,20,34.9,134,2,0.774736292,18551,7
26898,10/2/2007,10/2/2007,Male,4,haerbin,heilongjiang,CN,47.0,3/31/2014,23,14470,9696.0,4742.0,23230,12/23/2013,100,27.45454545,124,2,0.653913043,14470,2
55182,3/8/2007,11/15/2012,Male,4,ruian,zhejiang,CN,40.0,3/31/2014,2,1126,1375.0,0.0,2925,11/21/2012,497,6.0,6,0,0.5,1126,0
34273,1/15/2013,2/28/2013,Male,4,ouhai,zhejiang,CN,38.0,3/31/2014,7,1992,1162.0,2602.0,6130,3/6/2014,26,62.0,266,0,0.5890734089999999,1992,0
